Symbol,Security,GICS Sector,GICS Sub Industry,Date first added,CIK
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",5/1/2014,1336917
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",6/30/1979,103379
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,,106640
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,11/14/2008,1174922
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,10/6/1997,1041061
MO,Altria Group Inc,Consumer Staples,Tobacco,,764180
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,7/29/1981,7084
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,10/31/1982,14693
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,,16732
CHD,Church & Dwight,Consumer Staples,Household Products,12/29/2015,313927
CLX,The Clorox Company,Consumer Staples,Household Products,3/31/1969,21076
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,,21344
CL,Colgate-Palmolive,Consumer Staples,Household Products,,21665
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,8/31/1983,23217
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,7/1/2005,16918
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,10/1/1993,909832
COTY,"Coty, Inc",Consumer Staples,Personal Products,10/3/2016,1024305
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,1/5/2006,1001250
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,3/31/1969,40704
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,,47111
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,3/4/2009,48465
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,11/6/2008,91419
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,,55067
KMB,Kimberly-Clark,Consumer Staples,Household Products,,55785
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,7/6/2015,1637459
KR,Kroger Co.,Consumer Staples,Food Retail,,56873
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,12/3/2018,1679273
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,,63754
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,6/30/1976,24545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,10/2/2012,1103982
MNST,Monster Beverage,Consumer Staples,Soft Drinks,6/28/2012,865752
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,,77476
PM,Philip Morris International,Consumer Staples,Tobacco,3/31/2008,1413329
PG,Procter & Gamble,Consumer Staples,Personal Products,,80424
SYY,Sysco Corp.,Consumer Staples,Food Distributors,12/31/1986,96021
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,,100493
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,8/31/1982,104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,12/31/1979,1618921
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,7/28/1997,6769
BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,,1701605
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,6/23/2008,858470
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,,93410
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,6/21/2014,1168054
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,2/22/2016,1358071
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,,1163165
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,8/30/2000,1090012
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,12/3/2018,1539838
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,11/2/2000,821189
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,,34088
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,,45012
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,3/1/2010,46765
HES,Hess Corporation,Energy,Integrated Oil & Gas,5/31/1984,4447
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,6/18/2018,48039
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,5/25/2012,1506307
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,5/1/1991,101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,7/1/2011,1510295
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,3/14/2005,1021860
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,10/8/2007,72207
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,12/31/1982,797468
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,3/15/2010,1039684
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,5/1/2012,1534701
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,9/24/2008,1038357
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,3/31/1965,87347
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,6/5/2009,1681459
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,,1035002
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,3/31/1975,107263
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,7/1/2014,1004434
AFL,AFLAC Inc,Financials,Life & Health Insurance,5/28/1999,4977
ALL,Allstate Corp,Financials,Property & Casualty Insurance,7/13/1995,899051
AXP,American Express Co,Financials,Consumer Finance,6/30/1976,4962
AIG,American International Group,Financials,Property & Casualty Insurance,3/31/1980,5272
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,10/3/2005,820027
AON,Aon plc,Financials,Insurance Brokers,4/23/1996,315293
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,5/31/2016,354190
AIZ,Assurant,Financials,Multi-line Insurance,4/10/2007,1267238
BAC,Bank of America Corp,Financials,Diversified Banks,6/30/1976,70858
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,3/31/1995,1390777
BBT,BB&T Corporation,Financials,Regional Banks,12/4/1997,92230
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2/16/2010,1067983
BLK,BlackRock,Financials,Asset Management & Custody Banks,4/4/2011,1364742
COF,Capital One Financial,Financials,Consumer Finance,7/1/1998,927628
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,3/1/2017,1374310
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,6/2/1997,316709
CB,Chubb Limited,Financials,Property & Casualty Insurance,7/15/2010,896159
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,12/18/1997,20286
C,Citigroup Inc.,Financials,Diversified Banks,5/31/1988,831001
CFG,Citizens Financial Group,Financials,Regional Banks,1/29/2016,759944
CME,CME Group Inc.,Financials,Financial Exchanges & Data,8/11/2006,1156375
CMA,Comerica Inc.,Financials,Diversified Banks,12/1/1995,28412
DFS,Discover Financial Services,Financials,Consumer Finance,7/2/2007,1393612
ETFC,E*Trade,Financials,Investment Banking & Brokerage,3/31/2004,1015780
RE,Everest Re Group Ltd.,Financials,Reinsurance,6/19/2017,1095073
FITB,Fifth Third Bancorp,Financials,Regional Banks,,35527
FRC,First Republic Bank,Financials,Regional Banks,1/2/2019,1132979
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,38777
GL,Globe Life Inc.,Financials,Life & Health Insurance,4/30/1989,320335
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,7/22/2002,886982
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,,874766
HBAN,Huntington Bancshares,Financials,Regional Banks,,49196
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,9/26/2007,1571949
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,8/21/2008,914208
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,6/30/1975,19617
KEY,KeyCorp,Financials,Regional Banks,3/1/1994,91576
LNC,Lincoln National,Financials,Multi-line Insurance,6/30/1976,59558
L,Loews Corp.,Financials,Multi-line Insurance,,60086
MTB,M&T Bank Corp.,Financials,Regional Banks,,36270
MKTX,MarketAxess,Financials,Financial Exchanges & Data,7/1/2019,1278021
MMC,Marsh & McLennan,Financials,Insurance Brokers,8/31/1987,62709
MET,MetLife Inc.,Financials,Life & Health Insurance,,1099219
MCO,Moody's Corp,Financials,Financial Exchanges & Data,,1059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,,895421
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,4/4/2018,1408198
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,10/22/2008,1120193
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,,73124
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,11/13/2008,1378946
PNC,PNC Financial Services,Financials,Regional Banks,4/30/1988,713676
PFG,Principal Financial Group,Financials,Life & Health Insurance,7/22/2002,1126328
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,8/4/1997,80661
PRU,Prudential Financial,Financials,Life & Health Insurance,7/22/2002,1137774
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,3/20/2017,720005
RF,Regions Financial Corp.,Financials,Regional Banks,8/28/1998,1281761
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,,64040
STT,State Street Corp.,Financials,Asset Management & Custody Banks,,93751
STI,SunTrust Banks,Financials,Regional Banks,5/31/1988,750556
SIVB,SVB Financial,Financials,Regional Banks,3/19/2018,719739
SYF,Synchrony Financial,Financials,Consumer Finance,11/18/2015,1601712
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,,1113169
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,8/21/2002,86312
USB,U.S. Bancorp,Financials,Diversified Banks,,36104
UNM,Unum Group,Financials,Life & Health Insurance,3/1/1994,5513
WFC,Wells Fargo,Financials,Diversified Banks,6/30/1976,72971
WLTW,Willis Towers Watson,Financials,Insurance Brokers,1/5/2016,1140536
ZION,Zions Bancorp,Financials,Regional Banks,6/22/2001,109380
ABT,Abbott Laboratories,Health Care,Health Care Equipment,3/31/1964,1800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,12/31/2012,1551152
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,5/31/2018,815094
A,Agilent Technologies Inc,Health Care,Health Care Equipment,6/5/2000,1090872
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,5/25/2012,899866
ALGN,Align Technology,Health Care,Health Care Supplies,6/19/2017,1097149
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,4/12/1999,1578845
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,8/30/2001,1140859
AMGN,Amgen Inc.,Health Care,Biotechnology,1/2/1992,318154
ANTM,Anthem,Health Care,Managed Health Care,7/25/2002,1156039
BAX,Baxter International Inc.,Health Care,Health Care Equipment,9/30/1972,10456
BDX,Becton Dickinson,Health Care,Health Care Equipment,9/30/1972,10795
BIIB,Biogen Inc.,Health Care,Biotechnology,11/13/2003,875045
BSX,Boston Scientific,Health Care,Health Care Equipment,2/24/1995,885725
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,,14272
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,5/27/1997,721371
CELG,Celgene Corp.,Health Care,Biotechnology,11/6/2006,816284
CNC,Centene Corporation,Health Care,Managed Health Care,3/30/2016,1071739
CERN,Cerner,Health Care,Health Care Technology,4/30/2010,804753
CI,CIGNA Corp.,Health Care,Managed Health Care,6/30/1976,701221
COO,The Cooper Companies,Health Care,Health Care Supplies,9/23/2016,711404
CVS,CVS Health,Health Care,Health Care Services,,64803
DHR,Danaher Corp.,Health Care,Health Care Equipment,,313616
DVA,DaVita Inc.,Health Care,Health Care Facilities,7/31/2008,927066
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,11/14/2008,818479
EW,Edwards Lifesciences,Health Care,Health Care Equipment,4/1/2011,1099800
GILD,Gilead Sciences,Health Care,Biotechnology,7/1/2004,882095
HCA,HCA Healthcare,Health Care,Health Care Facilities,1/27/2015,860730
HSIC,Henry Schein,Health Care,Health Care Distributors,3/17/2015,1000228
HOLX,Hologic,Health Care,Health Care Equipment,3/30/2016,859737
HUM,Humana Inc.,Health Care,Managed Health Care,,49071
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,1/5/2017,874716
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,11/19/2015,1110803
INCY,Incyte,Health Care,Biotechnology,2/28/2017,879169
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,6/2/2008,1035267
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,8/29/2017,1478242
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,6/30/1973,200406
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,11/1/2004,920148
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,12/31/1970,59478
MCK,McKesson Corp.,Health Care,Health Care Distributors,,927653
MDT,Medtronic plc,Health Care,Health Care Equipment,10/31/1986,1613103
MRK,Merck & Co.,Health Care,Pharmaceuticals,,310158
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,9/6/2016,1037646
MYL,Mylan N.V.,Health Care,Pharmaceuticals,4/23/2004,1623613
NKTR,Nektar Therapeutics,Health Care,Pharmaceuticals,3/19/2018,906709
PKI,PerkinElmer,Health Care,Health Care Equipment,5/31/1985,31791
PRGO,Perrigo,Health Care,Pharmaceuticals,12/19/2011,1585364
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,,78003
DGX,Quest Diagnostics,Health Care,Health Care Services,12/12/2002,1022079
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,5/1/2013,872589
RMD,ResMed,Health Care,Health Care Equipment,7/26/2017,943819
SYK,Stryker Corp.,Health Care,Health Care Equipment,12/12/2000,310764
TFX,Teleflex,Health Care,Health Care Equipment,1/18/2019,96943
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,,97745
UNH,United Health Group Inc.,Health Care,Managed Health Care,7/1/1994,731766
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,9/20/2014,352915
VAR,Varian Medical Systems,Health Care,Health Care Equipment,2/12/2007,203527
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,9/23/2013,875320
WAT,Waters Corporation,Health Care,Health Care Distributors,,1000697
WCG,WellCare,Health Care,Managed Health Care,6/7/1905,1279363
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,8/7/2001,1136869
ZTS,Zoetis,Health Care,Pharmaceuticals,6/21/2013,1555280
MMM,3M Company,Industrials,Industrial Conglomerates,,66740
ALK,Alaska Air Group Inc,Industrials,Airlines,5/13/2016,766421
ALLE,Allegion,Industrials,Building Products,12/2/2013,1579241
AAL,American Airlines Group,Industrials,Airlines,3/23/2015,6201
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,9/23/2013,1037868
AOS,A.O. Smith Corp,Industrials,Building Products,7/26/2017,91142
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,3/31/1964,4281
BA,Boeing Company,Industrials,Aerospace & Defense,,12927
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,3/2/2007,1043277
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,,18230
CTAS,Cintas Corporation,Industrials,Diversified Support Services,3/1/2001,723254
CPRT,Copart Inc,Industrials,Diversified Support Services,7/2/2018,900075
CSX,CSX Corp.,Industrials,Railroads,9/30/1967,277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,3/31/1965,26172
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,,315189
DAL,Delta Air Lines Inc.,Industrials,Airlines,9/11/2013,27904
DOV,Dover Corp.,Industrials,Industrial Machinery,10/31/1985,29905
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,,1551182
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,3/31/1965,32604
EFX,Equifax Inc.,Industrials,Research & Consulting Services,6/19/1997,33185
EXPD,Expeditors,Industrials,Air Freight & Logistics,10/10/2007,746515
FAST,Fastenal Co,Industrials,Building Products,9/15/2009,815556
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,12/31/1980,1048911
FLS,Flowserve Corporation,Industrials,Industrial Machinery,10/2/2008,30625
FTV,Fortive Corp,Industrials,Industrial Machinery,7/1/2016,1659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,6/22/2016,1519751
GD,General Dynamics,Industrials,Aerospace & Defense,,40533
GE,General Electric,Industrials,Industrial Conglomerates,,40545
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,6/30/1981,277135
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,3/31/1964,773840
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,1/3/2018,1501585
IEX,IDEX Corporation,Industrials,Industrial Machinery,8/9/2019,832101
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,6/2/2017,1598014
ITW,Illinois Tool Works,Industrials,Industrial Machinery,2/28/1986,49826
IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,11/17/2010,1466258
JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,10/26/2007,52988
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,7/1/2015,728535
JCI,Johnson Controls International,Industrials,Building Products,8/27/2010,833444
KSU,Kansas City Southern,Industrials,Railroads,5/24/2013,54480
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,,202058
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,7/31/1984,936468
MAS,Masco Corp.,Industrials,Building Products,6/30/1981,62996
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,7/9/2013,1492633
NSC,Norfolk Southern Corp.,Industrials,Railroads,,702165
NOC,Northrop Grumman,Industrials,Aerospace & Defense,6/30/1985,1133421
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,12/31/1980,75362
PH,Parker-Hannifin,Industrials,Industrial Machinery,11/30/1985,76334
PNR,Pentair plc,Industrials,Industrial Machinery,10/1/2012,77360
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,7/1/2009,1050915
RTN,Raytheon Co.,Industrials,Aerospace & Defense,,1047122
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,12/5/2008,1060391
RHI,Robert Half International,Industrials,Human Resource & Employment Services,12/5/2000,315213
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,,1024478
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,10/1/2018,84839
ROP,Roper Technologies,Industrials,Industrial Conglomerates,12/23/2009,882835
SNA,Snap-on,Industrials,Industrial Machinery,9/30/1982,91440
LUV,Southwest Airlines,Industrials,Airlines,7/1/1994,92380
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,9/30/1982,93556
TXT,Textron Inc.,Industrials,Aerospace & Defense,12/31/1978,217346
TDG,TransDigm Group,Industrials,Aerospace & Defense,6/3/2016,1260221
UNP,Union Pacific Corp,Industrials,Railroads,,100885
UAL,United Airlines Holdings,Industrials,Airlines,9/3/2015,100517
UPS,United Parcel Service,Industrials,Air Freight & Logistics,7/22/2002,1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,9/20/2014,1067701
UTX,United Technologies,Industrials,Aerospace & Defense,,101829
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,10/8/2015,1442145
WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,2/27/2019,943452
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,,823768
XYL,Xylem Inc.,Industrials,Industrial Machinery,11/1/2011,1524472
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,7/6/2011,1467373
ADBE,Adobe Systems Inc,Information Technology,Application Software,5/5/1997,796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,3/20/2017,2488
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,7/12/2007,1086222
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,12/23/2013,1101215
APH,Amphenol Corp,Information Technology,Electronic Components,9/30/2008,820313
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,10/12/1999,6281
ANSS,ANSYS,Information Technology,Application Software,6/19/2017,1013462
